winery,wine,year,rating,rating_norm,price,price_group,region,body,acidity,quality_price_percent
Teso La Monja,Tinto,2013,4.9,1.0,995.0,mid,Toro,5.0,3.0,50.02470355731226
Artadi,Vina El Pison,2018,4.9,1.0,313.5,mid,Vino de Espana,4.0,2.0,55.805335968379445
Vega Sicilia,Unico,2009,4.8,0.8571428571428564,324.95,mid,Ribera del Duero,5.0,3.0,54.54545454545454
Vega Sicilia,Unico,1999,4.8,0.8571428571428564,692.96,mid,Ribera del Duero,5.0,3.0,51.13636363636363
Vega Sicilia,Unico,1996,4.8,0.8571428571428564,778.06,mid,Ribera del Duero,5.0,3.0,50.69169960474309
Vega Sicilia,Unico,1998,4.8,0.8571428571428564,490.0,mid,Ribera del Duero,5.0,3.0,52.17391304347826
Vega Sicilia,Unico,2010,4.8,0.8571428571428564,349.0,mid,Ribera del Duero,5.0,3.0,54.051383399209485
Vega Sicilia,Unico,1995,4.8,0.8571428571428564,810.89,mid,Ribera del Duero,5.0,3.0,50.543478260869556
Vega Sicilia,Unico Reserva Especial Edicion,2015,4.8,0.8571428571428564,345.0,mid,Ribera del Duero,5.0,3.0,54.273715415019765
Vega Sicilia,Unico,2011,4.8,0.8571428571428564,315.0,mid,Ribera del Duero,5.0,3.0,54.86660079051383
Vega Sicilia,Unico Reserva Especial Edicion,2016,4.8,0.8571428571428564,514.85,mid,Ribera del Duero,5.0,3.0,51.87747035573123
Pago de Carraovejas,El Anejon,2016,4.8,0.8571428571428564,105.15,mid,Ribera del Duero,5.0,3.0,72.67786561264822
Vega Sicilia,Unico Reserva Especial Edicion,2018,4.8,0.8571428571428564,430.0,mid,Ribera del Duero,5.0,3.0,52.71739130434783
Vega Sicilia,Unico,1970,4.8,0.8571428571428564,925.0,mid,Ribera del Duero,5.0,3.0,49.75296442687747
Toro Albala,Don PX Convento Seleccion,1946,4.8,0.8571428571428564,350.0,mid,Montilla-Moriles,5.0,1.0,54.001976284584984
Pago de Carraovejas,Cuesta de Las Liebres,2015,4.8,0.8571428571428564,166.18,mid,Ribera del Duero,5.0,3.0,63.537549407114625
Vega Sicilia,Unico,1962,4.8,0.8571428571428564,1620.0,high,Ribera del Duero,5.0,3.0,55.88235294117647
Vega Sicilia,Unico Reserva Especial Edicion,2019,4.8,0.8571428571428564,431.36,mid,Ribera del Duero,5.0,3.0,52.66798418972331
Bodegas El Nido,El Nido,2018,4.8,0.8571428571428564,195.627379550654,mid,Jumilla,4.0,3.0,60.523715415019765
Vega Sicilia,Unico Reserva Especial Edicion,2004,4.8,0.8571428571428564,824.43,mid,Ribera del Duero,5.0,3.0,50.24703557312253
Valdespino,Toneles Moscatel,,4.8,0.8571428571428564,253.0,mid,Jerez-Xeres-Sherry,4.0,3.0,57.01581027667984
Vega Sicilia,Unico Reserva Especial Edicion,2013,4.8,0.8571428571428564,570.51,mid,Ribera del Duero,5.0,3.0,51.531620553359694
Dominio de Pingus,Pingus,2016,4.8,0.8571428571428564,1280.0,high,Ribera del Duero,5.0,3.0,74.50980392156863
Toro Albala,Don PX Convento Seleccion,1931,4.8,0.8571428571428564,244.85,mid,Montilla-Moriles,5.0,1.0,57.70750988142292
Vega Sicilia,Unico Reserva Especial Edicion,2010,4.8,0.8571428571428564,719.34,mid,Ribera del Duero,5.0,3.0,50.88932806324111
Vega Sicilia,Unico,1979,4.8,0.8571428571428564,815.0,mid,Ribera del Duero,5.0,3.0,50.34584980237153
Toro Albala,Don PX Pedro Ximenez,1946,4.8,0.8571428571428564,285.86,mid,Montilla-Moriles,5.0,1.0,55.97826086956521
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2004,4.8,0.8571428571428564,1410.26,high,Priorato,4.0,3.0,62.254901960784316
Vega Sicilia,Unico Reserva Especial Edicion,2005,4.8,0.8571428571428564,813.96,mid,Ribera del Duero,5.0,3.0,50.4199604743083
Vega Sicilia,Unico Reserva Especial Edicion,2020,4.8,0.8571428571428564,435.75,mid,Ribera del Duero,5.0,3.0,52.61857707509881
Ordonez,Vatan Arena Tinta de Toro,2014,4.8,0.8571428571428564,369.05,mid,Toro,5.0,3.0,53.65612648221344
Vega Sicilia,Unico Reserva Especial Edicion,1985,4.8,0.8571428571428564,1182.77,high,Ribera del Duero,5.0,3.0,84.31372549019608
Toro Albala,Don PX Convento Seleccion,1929,4.8,0.8571428571428564,227.95,mid,Montilla-Moriles,5.0,1.0,58.64624505928854
Bodegas Valduero,Ribera Del Duero Gran Reserva 12 Anos,1999,4.8,0.8571428571428564,999.0,mid,Ribera del Duero,5.0,3.0,49.11067193675889
Vina Sastre,Pesus Ribera del Duero,2007,4.8,0.8571428571428564,360.0,mid,Ribera del Duero,5.0,3.0,53.80434782608696
Teso La Monja,Tinto,2012,4.8,0.8571428571428564,1190.0,high,Toro,5.0,3.0,82.84313725490196
Dominio de Pingus,Pingus,2017,4.8,0.8571428571428564,1150.0,high,Ribera del Duero,5.0,3.0,85.78431372549021
Teso La Monja,Tinto,2009,4.8,0.8571428571428564,950.0,mid,Toro,5.0,3.0,49.45652173913043
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2008,4.8,0.8571428571428564,1021.21,high,Priorato,4.0,3.0,94.11764705882352
